"asp_north","Elev.skewn","Int.skewne","Int.P70","All_mode","Return.3.c","Elev.IQ","Elev.P40","Int.P40","Total.firs","elevation","center.X","center.Y"
-2.0816749442917,0.152,1.4179,11,79,0,3.2619,6.4741,3,496,879.085998535156,443030,4691990
-2.20723053489469,-0.168,1.3957,13,75,0,2.6319,6.862,4,484,878.906982421875,443050,4691990
-2.14867856981757,-0.1016,2.2437,7,162,0,3.6776,8.0143,3,463,877.377014160156,443070,4691990
-1.96781395497929,-0.2185,1.4564,16,329,0,6.1087,13.2496,5,509,877.401977539062,443090,4691990
-1.96781395497929,-0.0129,1.1621,14.9,300,0,5.8301,12.4015,5,555,877.401977539062,443110,4691990
-1.86057310098211,-0.7313,1.0036,16,217,0,5.1604,11.9586,6,553,877.260986328125,443130,4691990
-1.72624536011429,1.0766,1.4243,16,349,0,3.5525,6.1586,5,534,876.336975097656,443150,4691990
-1.23983301998726,0.2242,1.2516,15,150,0,6.6941,8.7405,4,537,878.169006347656,443170,4691990
-1.38467160728683,-0.172,1.8243,11,206,0,4.875,7.9146,4,483,879.330993652344,443190,4691990
-1.38467160728683,0.0968,1.6434,10,215,0,4.1086,7.0378,3,440,879.330993652344,443210,4691990
-1.79059870062783,0.6296,2.2849,8,246,0,5.1328,7.2788,3,416,880.294982910156,443230,4691990
-1.98086261265238,-0.1599,1.7947,10,322,0,5.7503,10.5261,3,428,881.664978027344,443250,4691990
-2.07079359603914,-0.2755,1.6853,9,111,2,7.0756,11.2104,3,460,882.870971679688,443270,4691990
-2.12128710339218,-0.509,1.546,12,104,0,7.4464,11.6041,4,474,883.281005859375,443290,4691990
-2.12128710339218,-0.2587,1.8615,8,331,0,7.2806,11.1702,3,501,883.281005859375,443310,4691990
-2.11664488271909,-0.0324,1.7665,6,75,0,9.2844,10.4695,3,415,883.598999023438,443330,4691990
-2.03282175166102,-0.3079,1.1605,11,39,1,6.4299,9.2371,4.2,386,883.997009277344,443350,4691990
-1.89337821620397,0.9589,2.3745,7,66,0,4.7928,6.8673,3,360,884.086975097656,443370,4691990
-1.71332972102756,0.2521,1.8827,7,61,0,4.5874,8.9848,2,368,884.427978515625,443390,4691990
-1.71332972102756,-0.08,1.6338,5.6,48,0,6.6995,10.2425,2.2,348,884.427978515625,443410,4691990
-1.53964193714872,0.4309,1.5465,9,70,0,3.608,8.3568,3,339,884.718017578125,443430,4691990
-1.440791395633,-0.5199,1.6207,2.5,11,0,1.871,7.3621,2,351,885.179016113281,443450,4691990
-1.26597063223681,NA,NA,NA,0,0,NA,NA,NA,350,885.289001464844,443470,4691990
-0.982167392177373,NA,NA,NA,0,0,NA,NA,NA,350,885.893005371094,443490,4691990
-0.982167392177373,0,0,5.1,1,0,0.3093,3.608,4.2,379,885.893005371094,443510,4691990
-0.881673569669426,-0.5813,1.3371,9.2,10,0,0.8509,6.2884,3,459,886.539978027344,443530,4691990
-0.77124976571987,0.1968,2.289,10,125,0,3.9316,6.8125,3,451,887.56201171875,443550,4691990
-0.362576204523401,-0.0588,2.3482,7,270,0,4.9293,7.7307,3,440,888.72900390625,443570,4691990
-0.328164912650166,0.3387,1.401,16,176,0,2.8075,5.1037,4,442,891.72802734375,443590,4691990
-0.328164912650166,0.3646,2.0132,11,284,0,3.0328,5.609,3,448,891.72802734375,443610,4691990
-0.912256033225338,-0.0058,2.153,8,120,0,5.7716,8.8847,3,404,894.684020996094,443630,4691990
-1.6309779329998,-0.0822,1.8005,11,294,0,3.3789,9.7894,3,430,895.52099609375,443650,4691990
-1.31469737548381,0.2694,1.4172,14,215,0,3.4884,10.5484,5,429,894.789978027344,443670,4691990
-1.31005794038448,-0.2554,2.0291,9,227,0,4.6087,11.2463,3,400,892.447021484375,443690,4691990
-1.31005794038448,-0.2382,1.2766,16,139,0,5.0864,11.1066,4,405,892.447021484375,443710,4691990
-1.29898999579213,-0.4923,1.7237,11,85,0,4.5247,11.5802,3,394,888.588012695312,443730,4691990
-1.08682839287444,-0.1038,2.2877,4,96,0,7.0492,9.2721,2,412,881.289978027344,443750,4691990
0.190452044398231,-0.7702,1.4321,15,102,0,2.6572,9.672,6,478,881.492004394531,443770,4691990
0.931937952175978,0.6587,1.8152,6,236,0,11.4157,9.6486,3,441,883.284973144531,443790,4691990
0.931937952175978,0.1794,1.3791,10,111,0,5.6494,6.4174,3,488,883.284973144531,443810,4691990
0.832479477953607,-0.046,1.4262,12,105,0,4.4154,8.043,4,463,888.039001464844,443830,4691990
0.395275390471577,-0.1451,2.0542,8,90,0,5.3956,8.8556,3,474,891.247009277344,443850,4691990
-0.330767062723122,0.0304,1.1731,10,61,0,3.8805,6.8015,3,513,894.031982421875,443870,4691990
-0.942875231656214,-0.2033,1.3077,12,150,0,2.8095,8.1205,4,524,895.598999023438,443890,4691990
-0.942875231656214,-0.5378,1.5152,12,177,0,3.1969,8.5363,4,491,895.598999023438,443910,4691990
-0.939325960022054,0.3133,1.5445,10,238,0,4.0555,7.245,3,449,897.036010742188,443930,4691990
-0.457617804714978,0.1068,1.8365,12.6,324,0,4.9951,9.2033,4,473,898.765991210938,443950,4691990
0.190619887254715,0.5449,1.9437,7.8,182,0,4.5529,7.8086,3,487,901.596008300781,443970,4691990
0.339270445152148,-0.0752,2.1704,11,160,1,4.5844,8.9156,3,531,904.932983398438,443990,4691990
1.18410744150894,-0.3909,1.0473,24,290,1,4.7759,10.2276,9,744,855.664978027344,442010,4691970
0.829100509733798,0.2984,0.9961,25.7,632,0,8.3695,7.3552,9,850,855.676025390625,442030,4691970
0.172713880248251,0.4999,1.3176,21,536,0,6.9319,8.1353,8,703,856.046020507812,442050,4691970
0.222061031986098,0.2421,1.2342,18,190,0,6.2227,10.2214,6,549,856.606018066406,442070,4691970
0.415131220386109,0.4057,0.9549,23,184,0,4.8309,6.8119,8,501,857.106018066406,442090,4691970
0.415131220386109,-1.114,1.1655,16,86,0,3.6969,14.632,5,436,857.106018066406,442110,4691970
0.543563848680336,-1.7837,0.8887,20,159,1,3.2498,16.4942,8,486,858.512023925781,442130,4691970
0.853555928267711,-0.1887,1.3368,15,169,0,5.5537,9.9535,4,429,859.094970703125,442150,4691970
0.897720921183554,-0.007,2.5553,5,33,0,4.6249,7.6555,2,484,859.721984863281,442170,4691970
0.0987830389984847,0.1311,2.4108,7,102,0,6.6705,6.946,3,506,859.453002929688,442190,4691970
0.0987830389984847,0.0171,1.4021,10,145,0,5.4069,9.3933,4,500,859.453002929688,442210,4691970
-0.432075601639653,-0.6575,0.9917,19,163,0,4.5361,10.0636,6,521,859.982971191406,442230,4691970
-0.83208599197863,-0.581,1.9994,10,365,1,6.2501,12.3135,3,623,860.390991210938,442250,4691970
-1.06363270215951,-0.7282,1.4837,12,184,0,5.9969,12.0063,4,696,860.445983886719,442270,4691970
-1.11852127094601,0.4288,1.443,9,73,0,5.2604,5.6323,3.2,561,860.515991210938,442290,4691970
-1.11852127094601,0.7243,1.0811,3.8,4,0,0.6402,3.2614,2.2,491,860.515991210938,442310,4691970
-0.909460036006037,1.2229,0.69,23.2,67,0,2.9237,6.4305,11,454,860,442330,4691970
0.280985652471543,0.3793,0.8376,22,119,0,5.8105,7.9987,10,481,859.739990234375,442350,4691970
0.920303792439965,NA,NA,NA,0,0,NA,NA,NA,483,860.700988769531,442370,4691970
1.03853420274899,0.694,2.4988,6,132,0,7.8237,9.2363,2,492,861.408996582031,442390,4691970
1.03853420274899,1.607,1.7352,9,300,1,4.9092,6.4414,3,673,861.408996582031,442410,4691970
0.607310120554818,-0.5105,1.64,12,166,0,4.1794,13.5974,4,779,861.038024902344,442430,4691970
-0.0253509439794914,0.0856,1.4097,13,269,0,7.6041,7.2358,4,720,862.455017089844,442450,4691970
-0.135624511855306,-1.1201,0.5769,25,309,0,3.8451,13.9745,10,582,861.885986328125,442470,4691970
-0.199107402252258,-0.6804,1.1749,16,75,0,6.4281,13.7216,5,477,863.22998046875,442490,4691970
-0.199107402252258,0.0487,1.5874,12,194,0,5.9615,8.0573,3,481,863.22998046875,442510,4691970
-1.04778350638822,-0.2023,2.2006,7,111,0,6.7645,10.0998,3,500,862.950988769531,442530,4691970
-1.12304775853057,-0.0027,1.9253,6.8,34,0,5.5291,8.0728,3,645,861.403991699219,442550,4691970
-0.691086324767354,NA,NA,NA,0,0,NA,NA,NA,173,861.77197265625,442570,4691970
-0.286829422983234,0.0531,1.394,11.5,31,0,2.9769,5.69,4,412,862.35498046875,442590,4691970
-0.286829422983234,NA,NA,NA,0,0,NA,NA,NA,383,862.35498046875,442610,4691970
-0.357370141101815,NA,NA,NA,0,0,NA,NA,NA,487,863.216003417969,442630,4691970
-0.327837504790967,-1.2383,1.6223,8,109,0,4.529,18.7649,3,620,864.081970214844,442650,4691970
-0.220102730557196,-0.1331,1.8135,9,127,2,7.3061,10.7971,3,494,864.913024902344,442670,4691970
-0.107774956395926,0.4425,1.4698,12,511,0,5.6998,6.7105,4,690,865.403991699219,442690,4691970
-0.107774956395926,0.1951,1.8089,7.4,483,1,4.7511,8.7347,3,681,865.403991699219,442710,4691970
-0.0620276130872889,0.0544,2.2257,10,408,0,4.955,7.1052,3,486,867.9169921875,442730,4691970
-0.0559221664456605,-0.1668,1.4201,15,260,0,5.126,9.5738,5,489,869.719970703125,442750,4691970
-0.216613974371462,0.3354,1.909,8,176,0,4.3606,6.3516,3,469,873.153015136719,442770,4691970
-0.810326019282133,0.1035,1.8816,9,94,0,2.3889,5.982,3,431,874.952026367188,442790,4691970
